#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|      testFile_V5_2024_04_16.bin|  5.50e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   0|   1000000|     100|0.81475479|  PASSED  
# The file file_input_raw was rewound 18 times
      rgb_lagged_sum|   1|   1000000|     100|0.99917264|   WEAK   
# The file file_input_raw was rewound 19 times
      rgb_lagged_sum|   2|   1000000|     100|0.91454207|  PASSED  
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|   3|   1000000|     100|0.38768521|  PASSED  
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   4|   1000000|     100|0.37384607|  PASSED  
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|   5|   1000000|     100|0.97668633|  PASSED  
# The file file_input_raw was rewound 27 times
      rgb_lagged_sum|   6|   1000000|     100|0.98791703|  PASSED  
# The file file_input_raw was rewound 29 times
      rgb_lagged_sum|   7|   1000000|     100|0.01815831|  PASSED  
# The file file_input_raw was rewound 33 times
      rgb_lagged_sum|   8|   1000000|     100|0.42043277|  PASSED  
# The file file_input_raw was rewound 36 times
      rgb_lagged_sum|   9|   1000000|     100|0.85152610|  PASSED  
# The file file_input_raw was rewound 40 times
      rgb_lagged_sum|  10|   1000000|     100|0.04811505|  PASSED  
# The file file_input_raw was rewound 44 times
      rgb_lagged_sum|  11|   1000000|     100|0.33170335|  PASSED  
# The file file_input_raw was rewound 48 times
      rgb_lagged_sum|  12|   1000000|     100|0.15969397|  PASSED  
# The file file_input_raw was rewound 53 times
      rgb_lagged_sum|  13|   1000000|     100|0.73388390|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|  14|   1000000|     100|0.88893205|  PASSED  
# The file file_input_raw was rewound 64 times
      rgb_lagged_sum|  15|   1000000|     100|0.09723852|  PASSED  
# The file file_input_raw was rewound 70 times
      rgb_lagged_sum|  16|   1000000|     100|0.74015762|  PASSED  
# The file file_input_raw was rewound 76 times
      rgb_lagged_sum|  17|   1000000|     100|0.00428499|   WEAK   
# The file file_input_raw was rewound 82 times
      rgb_lagged_sum|  18|   1000000|     100|0.87471264|  PASSED  
# The file file_input_raw was rewound 89 times
      rgb_lagged_sum|  19|   1000000|     100|0.36404864|  PASSED  
# The file file_input_raw was rewound 97 times
      rgb_lagged_sum|  20|   1000000|     100|0.90136681|  PASSED  
# The file file_input_raw was rewound 104 times
      rgb_lagged_sum|  21|   1000000|     100|0.74291126|  PASSED  
# The file file_input_raw was rewound 112 times
      rgb_lagged_sum|  22|   1000000|     100|0.93294404|  PASSED  
# The file file_input_raw was rewound 120 times
      rgb_lagged_sum|  23|   1000000|     100|0.05774284|  PASSED  
# The file file_input_raw was rewound 129 times
      rgb_lagged_sum|  24|   1000000|     100|0.99681993|   WEAK   
# The file file_input_raw was rewound 138 times
      rgb_lagged_sum|  25|   1000000|     100|0.97170447|  PASSED  
# The file file_input_raw was rewound 147 times
      rgb_lagged_sum|  26|   1000000|     100|0.85282944|  PASSED  
# The file file_input_raw was rewound 157 times
      rgb_lagged_sum|  27|   1000000|     100|0.97304835|  PASSED  
# The file file_input_raw was rewound 167 times
      rgb_lagged_sum|  28|   1000000|     100|0.44538014|  PASSED  
# The file file_input_raw was rewound 177 times
      rgb_lagged_sum|  29|   1000000|     100|0.80117978|  PASSED  
# The file file_input_raw was rewound 188 times
      rgb_lagged_sum|  30|   1000000|     100|0.54448256|  PASSED  
# The file file_input_raw was rewound 199 times
      rgb_lagged_sum|  31|   1000000|     100|0.20073735|  PASSED  
# The file file_input_raw was rewound 210 times
      rgb_lagged_sum|  32|   1000000|     100|0.63539438|  PASSED  
# The file file_input_raw was rewound 210 times
     rgb_kstest_test|   0|     10000|    1000|0.65750662|  PASSED  
# The file file_input_raw was rewound 210 times
     dab_bytedistrib|   0|  51200000|       1|0.42802374|  PASSED  
# The file file_input_raw was rewound 211 times
             dab_dct| 256|     50000|       1|0.52117859|  PASSED  
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 211 times
        dab_filltree|  32|  15000000|       1|0.01794861|  PASSED  
        dab_filltree|  32|  15000000|       1|0.68242622|  PASSED  
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 211 times
       dab_filltree2|   0|   5000000|       1|0.81369753|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.52218752|  PASSED  
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 211 times
        dab_monobit2|  12|  65000000|       1|0.74512477|  PASSED
